"Timestamp","CPU_Usage","Mem_Usage_MB","Disk_KBps","File_KBps"
"2025-05-09 01:54:41","0.00","2,387.74","0.00","0.00"
"2025-05-09 01:55:00","1.93","2,387.28","0.00","254.06"
"2025-05-09 01:55:19","0.51","2,387.24","0.00","0.00"
"2025-05-09 01:55:39","0.26","2,386.57","63.29","0.00"
"2025-05-09 01:56:01","1.86","2,386.51","199.31","0.00"
"2025-05-09 01:56:21","0.01","2,385.38","0.00","0.40"
"2025-05-09 01:56:41","0.86","2,396.41","8.49","0.00"
"2025-05-09 01:57:00","1.43","2,386.52","0.00","0.00"
"2025-05-09 01:57:20","0.00","2,398.10","0.00","9.28"
"2025-05-09 01:57:41","3.22","2,397.21","30.94","0.00"
"2025-05-09 01:58:01","3.61","2,396.26","0.00","63.54"
"2025-05-09 01:58:22","2.51","2,395.98","83.94","0.00"
"2025-05-09 01:58:42","0.23","2,396.66","39.73","64.25"
"2025-05-09 01:59:01","0.41","2,396.08","194.46","0.00"
"2025-05-09 01:59:21","0.00","2,396.81","0.00","0.00"
"2025-05-09 01:59:41","2.14","2,396.73","8.45","0.00"
"2025-05-09 02:00:01","4.10","2,396.38","293.94","0.00"
"2025-05-09 02:00:21","1.18","2,395.37","79.10","0.96"
"2025-05-09 02:00:40","1.06","2,395.96","0.00","0.50"
"2025-05-09 02:00:59","0.00","2,395.12","0.00","0.00"
"2025-05-09 02:01:18","0.92","2,395.87","0.00","0.00"
"2025-05-09 02:01:37","0.01","2,395.09","0.00","0.00"
"2025-05-09 02:01:56","0.00","2,394.98","0.00","0.00"
"2025-05-09 02:02:15","0.00","2,394.89","63.92","4.44"
"2025-05-09 02:02:34","0.40","2,394.59","0.00","0.00"
"2025-05-09 02:02:53","0.69","2,395.08","4.00","0.00"
"2025-05-09 02:03:12","0.62","2,394.99","0.00","0.00"
"2025-05-09 02:03:31","1.30","2,395.23","79.04","0.00"
"2025-05-09 02:03:50","0.00","2,398.80","7,877.57","0.48"
"2025-05-09 02:04:09","0.16","2,396.85","49.89","0.00"
"2025-05-09 02:04:28","0.02","2,396.64","63.09","0.00"
"2025-05-09 02:04:47","0.62","2,396.39","0.00","0.00"
"2025-05-09 02:05:06","0.85","2,396.46","4.00","1.77"
"2025-05-09 02:05:25","0.00","2,395.16","0.00","0.40"
"2025-05-09 02:05:46","0.30","2,397.21","0.00","0.00"
"2025-05-09 02:06:06","0.95","2,396.46","43.97","0.00"
"2025-05-09 02:06:27","0.86","2,398.68","0.00","0.40"
"2025-05-09 02:06:47","2.51","2,398.71","0.00","0.00"
"2025-05-09 02:07:08","0.40","2,395.99","63.53","9.39"
"2025-05-09 02:07:28","1.64","2,395.93","0.00","0.00"
"2025-05-09 02:07:48","0.83","2,395.74","67.08","0.00"
"2025-05-09 02:08:09","2.24","2,395.22","0.00","0.00"
"2025-05-09 02:08:29","0.00","2,395.84","19.78","0.00"
"2025-05-09 02:08:49","0.00","2,395.39","0.00","0.00"
"2025-05-09 02:09:11","3.06","2,395.74","0.00","0.00"
"2025-05-09 02:09:31","2.19","2,396.09","0.00","11.68"
"2025-05-09 02:09:51","1.19","2,395.32","0.00","0.00"
"2025-05-09 02:10:11","3.38","2,389.87","0.00","0.00"
"2025-05-09 02:10:32","4.25","2,388.68","50.25","0.00"
"2025-05-09 02:10:51","1.21","2,388.25","0.00","0.00"
"2025-05-09 02:11:10","0.00","2,387.48","0.00","0.00"
"2025-05-09 02:11:29","0.17","2,387.08","0.00","0.00"
"2025-05-09 02:11:48","0.00","2,387.07","291.76","0.00"
"2025-05-09 02:12:07","0.80","2,386.29","0.00","0.00"
"2025-05-09 02:12:26","0.85","2,386.29","0.00","0.80"
"2025-05-09 02:12:45","0.88","2,386.91","0.00","4.09"
"2025-05-09 02:13:04","1.09","2,387.34","0.00","0.00"
"2025-05-09 02:13:23","0.00","2,386.63","63.21","0.00"
"2025-05-09 02:13:42","0.27","2,387.33","0.00","0.00"
"2025-05-09 02:14:01","0.10","2,387.30","0.00","0.00"
"2025-05-09 02:14:20","0.66","2,387.35","0.00","0.00"
"2025-05-09 02:14:39","1.18","2,387.87","63.62","0.50"
"2025-05-09 02:14:58","0.54","2,387.39","0.00","0.00"
"2025-05-09 02:15:18","0.75","2,386.17","0.00","0.00"
"2025-05-09 02:15:37","0.82","2,385.48","0.00","0.40"
"2025-05-09 02:15:56","1.94","2,387.30","0.00","0.40"
"2025-05-09 02:16:17","1.63","2,386.76","0.00","0.40"
"2025-05-09 02:16:36","0.00","2,386.77","0.00","0.40"
"2025-05-09 02:16:57","2.55","2,386.66","0.00","0.40"
"2025-05-09 02:17:17","1.91","2,386.44","196.41","0.40"
"2025-05-09 02:17:36","0.00","2,386.91","0.00","0.70"
"2025-05-09 02:17:56","3.11","2,386.32","0.00","0.40"
"2025-05-09 02:18:17","1.25","2,387.82","0.00","0.40"
"2025-05-09 02:18:37","3.10","2,389.51","46.94","0.40"
"2025-05-09 02:18:57","1.13","2,387.57","229.12","0.40"
"2025-05-09 02:19:16","0.12","2,388.54","0.00","0.40"
"2025-05-09 02:19:36","1.72","2,388.62","91.74","0.00"
"2025-05-09 02:19:56","0.68","2,387.36","196.62","0.00"
"2025-05-09 02:20:16","2.00","2,387.31","67.97","0.00"
"2025-05-09 02:20:36","2.85","2,386.46","0.00","0.00"
"2025-05-09 02:20:55","0.60","2,386.19","4.45","0.00"
