"Timestamp","CPU_Usage","Mem_Avail_MB","Disk_BytesPerSec","FileIO_BytesPerSec"
"2025-05-08_14-09-55","0.00","583.00","90,490.30","65,117.99"
"2025-05-08_14-10-10","0.20","584.00","0.00","0.00"
"2025-05-08_14-10-24","0.90","591.00","3,686,451.91","230.13"
"2025-05-08_14-10-38","0.81","609.00","0.00","822.64"
"2025-05-08_14-10-52","0.37","606.00","36,569.31","508.83"
"2025-05-08_14-11-07","0.00","663.00","32,789.45","0.00"
"2025-05-08_14-11-21","0.17","660.00","0.00","127.62"
"2025-05-08_14-11-35","0.33","662.00","40,765.63","0.00"
"2025-05-08_14-11-49","0.00","663.00","40,576.58","0.00"
"2025-05-08_14-12-03","1.98","667.00","106,365.95","0.00"
"2025-05-08_14-12-18","0.00","661.00","40,880.20","0.00"
"2025-05-08_14-12-32","0.36","670.00","40,983.22","0.00"
"2025-05-08_14-12-46","0.00","664.00","40,713.08","0.00"
"2025-05-08_14-13-00","0.00","670.00","0.00","0.00"
"2025-05-08_14-13-15","0.00","662.00","40,710.98","0.00"
"2025-05-08_14-13-29","0.00","664.00","40,986.37","413.11"
"2025-05-08_14-13-43","0.00","664.00","44,628.95","0.00"
"2025-05-08_14-13-57","0.00","664.00","0.00","0.00"
"2025-05-08_14-14-11","1.48","667.00","1,926,852.07","0.00"
"2025-05-08_14-14-25","0.00","667.00","0.00","40,635.33"
"2025-05-08_14-14-39","0.00","667.00","0.00","827.25"
"2025-05-08_14-14-53","0.93","667.00","8,709.53","0.00"
"2025-05-08_14-15-07","1.21","668.00","0.00","0.00"
"2025-05-08_14-15-21","0.00","668.00","0.00","0.00"
"2025-05-08_14-15-35","1.16","668.00","0.00","0.00"
"2025-05-08_14-15-50","0.00","668.00","0.00","0.00"
"2025-05-08_14-16-04","1.36","668.00","0.00","0.00"
"2025-05-08_14-16-18","0.00","670.00","0.00","0.00"
"2025-05-08_14-16-32","0.01","670.00","4,092.41","0.00"
"2025-05-08_14-16-46","0.00","670.00","61,338.04","0.00"
"2025-05-08_14-17-00","3.27","670.00","0.00","0.00"
"2025-05-08_14-17-14","0.52","670.00","0.00","0.00"
"2025-05-08_14-17-28","4.47","670.00","57,308.57","0.00"
"2025-05-08_14-17-42","1.57","670.00","0.00","0.00"
"2025-05-08_14-17-56","1.19","670.00","0.00","0.00"
"2025-05-08_14-18-10","1.20","670.00","0.00","0.00"
